,pais,anio,inversion
638,PAN,2021,1926.9511123
639,PNG,2021,-10.7124914358
640,PRY,2021,191.5862305
641,PER,2021,5755.3612241
642,PHL,2021,11983.36333
643,POL,2021,29580.0764231857
644,PRT,2021,9614.9249481368
645,katar,2021,-1093.4065934
646,republica_de_moldova,2021,410.05
647,ROU,2021,10573.7001090487
648,federacion_rusa,2021,38638.90745
649,RWA,2021,399.2944886
650,santo_tome_principe,2021,13.9485279
651,SAU,2021,19285.6435846
652,SEN,2021,2588.1249941674
653,SRB,2021,5087.102013734
654,serbia_montenegro,2021,
655,SYC,2021,224.7846582
656,SLE,2021,212.0
657,SGP,2021,131151.4920546073
658,SMX,2021,27.9507924022
659,SVK,2021,58.7088778868
660,SVN,2021,1773.304044736
661,SLB,2021,27.8048534122
662,ZAF,2021,40948.1145742535
663,espanna,2021,21957.1753318178
664,LKA,2021,592.2899699
665,estado_de_palestina,2021,353.4770549
666,SUR,2021,-124.0453495
667,SWZ,2021,117.4739160892
668,SWE,2021,21133.1643535228
669,CHE,2021,-88169.2998601515
670,THA,2021,14640.8730289
671,tfyr_de_macedonia,2021,556.4949792666
672,TLS,2021,-755.276826
673,TON,2021,0.2584876
674,trinidad_tobago,2021,-1008.381652
675,TUN,2021,660.2332394693
676,TUR,2021,
677,UGA,2021,1100.217529
678,UKR,2021,7320.0
679,emiratos_arabes_unidos,2021,20667.1204901
680,GBR,2021,-71173.8290249152
681,estados_unidos,2021,387780.0
682,URY,2021,2241.4844906
683,VEN,2021,-996.0
684,VNM,2021,15660.0
685,YEM,2021,
686,ZMB,2021,-351.646566
687,ZWE,2021,250.0
688,AFG,2022,
689,ALB,2022,1434.1255065163
690,DZA,2022,88.7685192
691,AGO,2022,-6142.2488482
692,ARG,2022,15087.3983545
693,ARM,2022,998.0554254
694,ABW,2022,253.3748167039
695,AUS,2022,61629.4781585723
696,AUT,2022,1946.8179089829
697,AZE,2022,-4474.47
698,BHS,2022,1254.8319129
699,BHR,2022,1951.329787234
700,BGD,2022,3479.95
701,BRB,2022,200.0
702,BLR,2022,1603.42454
703,BEL,2022,-1710.1505437942
704,BLZ,2022,133.5564676
705,BEN,2022,266.6031894723
706,BMU,2022,-32.8933333
707,BOL,2022,-26.3584197
708,bosnia_herzegovina,2022,661.3662768659
709,BWA,2022,216.0260456869
710,BRA,2022,86050.3589742
711,VGB,2022,38118.5510885
712,brunei_darussalam,2022,-292.4163595503
713,BGR,2022,2504.8770554451
714,BFA,2022,121.2954997553
715,BDI,2022,12.8836879339
716,CPV,2022,136.056543
717,KHM,2022,3578.8312959
718,CMR,2022,888.5446083
719,CAN,2022,52633.1964457898
720,CYM,2022,24590.0198496
721,CAF,2022,24.0477221852
722,TCD,2022,614.0185064633
723,CHL,2022,19786.0049798
724,CHN,2022,189132.41
725,china_rae_de_hong_kong,2022,117725.0553763131
726,china_rae_de_macao,2022,4000.0
727,china_provincia_de_taiwan,2022,10189.0
728,COL,2022,17047.55184
729,congo,2022,532.2562510334
730,COK,2022,3.8924104
731,CRI,2022,3045.0352224
732,cote_divoire,2022,1583.694622218
733,HRV,2022,3674.5907959361
734,CWU,2022,140.679716648
735,CYP,2022,4913.2526082955
736,czechia,2022,9853.134066083
737,checoslovaquia,2022,
738,rep_dem_del_congo,2022,1845.7733086
739,DNK,2022,4493.543948745
740,DOM,2022,4010.4
741,ECU,2022,788.0578035
742,EGY,2022,11399.9
743,SLV,2022,-99.10179
744,GNQ,2022,458.5099029987
745,EST,2022,1205.1168588831
746,FJI,2022,103.8881042897
747,FIN,2022,9444.790780351
748,FRA,2022,36413.3593927702
749,polinesia_frances,2022,-9.4803026
750,GAB,2022,1104.5920390423
751,GMB,2022,236.0
752,GEO,2022,1999.99014
753,DEU,2022,11053.3958703655
754,GHA,2022,1472.6
755,GRC,2022,7603.6389823762
756,GTM,2022,1352.40938
757,GIN,2022,139.4533333
758,guinea_bissau,2022,21.9408848921
759,guayana,2022,4408.44348
760,HTI,2022,39.3032
761,HND,2022,822.6
762,HUN,2022,8571.4661649745
763,ISL,2022,619.5968415175
764,IND,2022,49354.6119469879
765,IDN,2022,21968.17
766,IRN,2022,1500.0
767,IRQ,2022,-2088.2
768,IRL,2022,1490.0634356335
769,ISR,2022,27760.138
770,ITA,2022,19946.8421185648
771,JAM,2022,359.5146667
772,JPN,2022,32508.808407328
773,JOR,2022,1137.0422535211
774,KAZ,2022,6108.4128491
775,KEN,2022,759.4937022
776,KIR,2022,1.0323961
777,rep_de_corea,2022,17996.0
778,KWT,2022,757.7713697959
779,KGZ,2022,290.9
780,lao,2022,528.2248497
781,LVA,2022,1507.9652578284
782,LBN,2022,457.878416
783,LBR,2022,73.1066667
784,LBY,2022,
785,LTU,2022,2157.8751168884
786,LUX,2022,-322053.7812860669
787,MDG,2022,396.244477
788,MWI,2022,188.5640343
789,MYS,2022,16939.6011339045
790,MLI,2022,252.9127313244
791,MLT,2022,4239.6832851739
792,MRT,2022,1147.5553133515
793,MUS,2022,252.104279704
794,mejico,2022,35291.618356
795,MNG,2022,2504.29
796,MNE,2022,876.751692354
797,MAR,2022,2141.3963266166
798,MOZ,2022,1975.2948418
799,NAM,2022,945.0867063593
800,NLD,2022,-67340.3343428557
801,antillas_holandesas,2022,
802,NCL,2022,696.3073455
803,NZL,2022,7538.7573921352
804,NIC,2022,1293.8
805,NER,2022,580.7370274791
806,NGA,2022,-186.7924289
807,NOR,2022,-3435.5550512072
808,OMN,2022,3715.6480278283
809,PAK,2022,1339.0
810,PAN,2022,2640.4232533
811,PNG,2022,326.7148607955
812,PRY,2022,473.5296986
813,PER,2022,11655.582069
814,PHL,2022,9199.94291
815,POL,2022,29461.8954191771
816,PRT,2022,9099.4033147856
817,katar,2022,76.0989011
818,republica_de_moldova,2022,587.3
819,ROU,2022,11272.9459238604
820,federacion_rusa,2022,-18681.12
821,RWA,2022,398.5993548
822,santo_tome_principe,2022,126.6038371
823,SAU,2022,7886.3419579
824,SEN,2022,2586.1799342661
825,SRB,2022,5465.4202400108
826,serbia_montenegro,2022,
827,SYC,2022,212.0543627
828,SLE,2022,250.0
829,SGP,2022,141210.9668252014
830,SMX,2022,13.4619484916
831,SVK,2022,2905.4332335746
832,SVN,2022,1622.0260018702
833,SLB,2022,40.804077467
834,ZAF,2022,9051.1940893575
835,espanna,2022,34811.0725929421
836,LKA,2022,898.2952138
